"id","Place","Tag","Link"
12,"Itmenaan Estate, Uttarakhand","Enjoying the healing powers of a spectacular view.","http://www.natgeotraveller.in/magazine/month/august-2015/itmenaan-estate-uttarakhand/"
13,"Forest Trails, Temple Ruins And Luscious Mangalorean Food In Coastal Karnataka","An active break in Bhatkal. ","http://www.natgeotraveller.in/magazine/month/august-2015/forest-trails-temple-ruins-and-luscious-mangalorean-food-in-coastal-karnataka/"
14,"Jim's Jungle Retreat, Corbett National Park","Thrills, frills, and safari adventures in Uttarakhand.","http://www.natgeotraveller.in/magazine/month/july-2015/jims-jungle-retreat-corbett-national-park/"
15,"Agumbe Adventure: Reptiles And Waterfalls In The Rainforests Of Karnataka","The lush village lies in a Unesco World Heritage site.","http://www.natgeotraveller.in/magazine/month/october-2012/agumbe-rainforest-karnataka-western-ghats/"
16,"Weekend Getaway: Head To Landour, Ruskin Bond's Hometown","Despite its proximity to manic Mussoorie, this town retains its old-world aura. ","http://www.natgeotraveller.in/magazine/month/july-2015/weekend-getaway-head-to-landour-ruskin-bonds-hometown/"
17,"Walton's Homestay, Kochi","In Fort Kochi's oldest street, a snug, historical home.","http://www.natgeotraveller.in/magazine/month/july-2015/waltons-homestay-fort-kochi/"
18,"Stream of Joy, Karnataka","Back to basics at this homestay in Arasinamakki.","http://www.natgeotraveller.in/magazine/month/august-2012/stream-of-joy/"
19,"Avanti Kalagram, Maharashtra","The eco-resort makes for an artsy weekend getaway from Mumbai.","http://www.natgeotraveller.in/magazine/month/july-2013/avanti-kalagram-maharashtra/"
20,"Revolver, Darjeeling","Hello Goodbye, it's a Beatles-themed hotel.","http://www.natgeotraveller.in/magazine/month/june-2015/revolver/"
21,"Surfing Lessons And Fiery Fish Curry In Sandy Kovalam","Four ways to explore the Kerala beach town. ","http://www.natgeotraveller.in/magazine/month/june-2015/kovalam/"
22,"Te Aroha, Uttarakhand","Serenity and luxury in the Kumaon hills.","http://www.natgeotraveller.in/magazine/month/june-2015/te-aroha/"
23,"The Only Olive, Goa","A slice of life in a Goan village.","http://www.natgeotraveller.in/magazine/month/july-2013/only-olive/"
24,"Golden Lake: Coracles And Campfires At Honnemaradu","An idyllic weekend getaway in Karnataka. ","http://www.natgeotraveller.in/magazine/month/june-2013/honnemaradu/"
25,"Khyber Himalayan Resort and Spa, Gulmarg","Rekindling idyllic vacations in Kashmir. ","http://www.natgeotraveller.in/magazine/month/may-2015/gulmarg/"
26,"Cancio’s House, Goa","Old-world charm and pineapple pickle in the sunshine state.","http://www.natgeotraveller.in/magazine/month/may-2015/goan-reverie/"
27,"Royal Treatment: Discovering Udaipur's Lakes And Palaces","The ""city of dawn"" will make your spirits soar.","http://www.natgeotraveller.in/magazine/month/may-2015/regal-romance/"
28,"A Forest In Hiding Near Mumbai","Weekend Getaway: Rest and relaxation are unavoidable in this rural retreat. ","http://www.natgeotraveller.in/magazine/month/january-2013/hidden-village/"
29,"Magnificent Mansions, Potent Spices And More In Fiery Chettinad","This region in Tamil Nadu is packed with history and grandeur.","http://www.natgeotraveller.in/magazine/month/january-2013/chettinad-short-breaks/"
30,"French Haveli, Ahmedabad","A restored Ahmedabad haveli embraces its neighbourhood. ","http://www.natgeotraveller.in/magazine/month/april-2015/french-haveli/"
31,"Discover Robbers' Cave And Doon Valley's Other Hidden Delights","Dehradun is an Enid Blyton storybook come alive.","http://www.natgeotraveller.in/magazine/month/april-2015/doon-valleys-hidden-delights/"
32,"Coffee Trails In Sakleshpur","Sakleshpur offers a year-round escape for the city-weary. ","http://www.natgeotraveller.in/magazine/month/august-2013/hillside-haven/"
33,"Misty Trails & Rustic Retreat In Cherrapunji","Sa-i-Mika has cozy, no-frills rooms in one of the world’s wettest landscape.","http://www.natgeotraveller.in/magazine/month/august-2013/rustic-in-the-rain/"
34,"Forest Magic In The Colonial Tea Estates Of Valparai","Travel back in time at the 100-year-old Sinna Dorai Bungalow.","http://www.natgeotraveller.in/magazine/month/august-2013/short-break-sinna-dorai/"
35,"History Comes Alive In Gwalior","Temples, forts and shopping.","http://www.natgeotraveller.in/magazine/month/august-2013/short-break-gwalior/"
36,"Vanaashrya, Rajasthan","Luxury tents in a rustic setting near Sariska National Park.","http://www.natgeotraveller.in/magazine/month/march-2015/vanaashrya/"
37,"The Mirage, Himachal Pradesh","A B&B holiday with the Dhauladhars for company.","http://www.natgeotraveller.in/magazine/month/march-2015/stay-mirage/"
38,"Discover The Hidden Treasures Of Himachal's Barot Valley","Trekking, fishing and driving around this little-known town.","http://www.natgeotraveller.in/magazine/month/march-2015/barot/"
39,"Visit Kumbakonam For Its Sacred Trails And Fine Filter Coffee","Weekend getaway: There's something in these temples for everyone.","http://www.natgeotraveller.in/magazine/month/february-2015/kumbakonam/"
40,"Bal Samand, Rajasthan","Bal Samand’s verdure could inspire poets.","http://www.natgeotraveller.in/magazine/month/february-2015/bal-samand/"
41,"Discover The Old-World Allure Of Vellore","Compelling history, green spaces, & delicious food welcome you in this Tamil Nadu town.","http://www.natgeotraveller.in/magazine/month/january-2015/vellore/"
42,"Capella, Goa","At Capella, curl up with a book by a palm-fringed courtyard.","http://www.natgeotraveller.in/magazine/month/december-2014/browsers-nook/"
43,"Cycle Through The Ruins Of The Empires In Mandu","The spirit of indulgence still dances among the relics of this town in Madhya Pradesh.","http://www.natgeotraveller.in/magazine/month/december-2014/cycle-through-ruins-of-the-empires-in-mandu/"
44,"Garhwalis & Ghosts Live In Harmony In Lansdowne","Explore the secrets of this beautiful hill station.","http://www.natgeotraveller.in/magazine/month/november-2014/garhwalis-ghosts-live-in-harmony-in-lansdowne/"
45,"Guided By The Goddess: Four Ways To Explore Madurai","A local rose-flavoured drink and the native jasmine will enhance your cultural exploration of Madurai.","http://www.natgeotraveller.in/magazine/month/october-2014/guided-by-the-goddess-four-ways-to-explore-madurai/"
46,"Mountain Manor: The Himalayan in Manali","Far from the chaos of Manali town, The Himalayan is like a plush man cave.","http://www.natgeotraveller.in/magazine/month/september-2014/mountain-manor--the-himalayan-in-manali-355/"
47,"Across The Salt Desert","Baroque palaces meet the bare beauty of the White Rann in Bhuj.","http://www.natgeotraveller.in/magazine/month/september-2014/across-the-salt-desert-354/"
48,"Shantiniketan By The Book","Following Rabindranath Tagore’s inspiration in a rural paradise. ","http://www.natgeotraveller.in/magazine/month/june-2014/shantiniketan-by-the-book-307/"
49,"In The Shadow Of The Temple","Discovering rare books, opulent paintings, and dancing-girl dolls in Thanjavur.","http://www.natgeotraveller.in/magazine/month/august-2014/in-the-shadow-of-the-temple-276/"
50,"The Joy Of Small Things","Stunning views, flocks of cuddly sheep, smoked garlic–that's what Kodaikanal is about. ","http://www.natgeotraveller.in/magazine/month/july-2014/the-joy-of-small-things-254/"
51,"Juggernaut
Journey","The Jagannath Temple defines the spirit of the holy town of Puri.","http://www.natgeotraveller.in/magazine/month/april-2014/juggernautjourney-164/"
52,"Chronicles In Stone","Hoysala grandeur comes alive in the temple carvings of Belur and Halebid.","http://www.natgeotraveller.in/magazine/month/february-2014/chronicles-in-stone-148/"
53,"Beach Mantra","Despite a surfeit of tourists, Gokarna has aged well.","http://www.natgeotraveller.in/magazine/month/may-2014/beach-mantra-120/"
54,"Small City,
Big Prize","Skip Rajkot for Jamnagar’s snacks and surmo.","http://www.natgeotraveller.in/magazine/month/march-2014/small-city-big-prize-85/"
55,"Mansions And Markets","Churu’s locked havelis reveal dazzling art.","http://www.natgeotraveller.in/magazine/month/january-2014/mansions-and-markets-36/"
