"id","lon.x","lat.x","Place","Tag","Link","lon.y","lat.y"
44,78.687107,29.837746,"Garhwalis & Ghosts Live In Harmony In Lansdowne","Explore the secrets of this beautiful hill station.","http://www.natgeotraveller.in/magazine/month/november-2014/garhwalis-ghosts-live-in-harmony-in-lansdowne/",NA,NA
14,78.77466,29.530014,"Jim's Jungle Retreat, Corbett National Park","Thrills, frills, and safari adventures in Uttarakhand.","http://www.natgeotraveller.in/magazine/month/july-2015/jims-jungle-retreat-corbett-national-park/",NA,NA
12,79.718954,29.704716,"Itmenaan Estate, Uttarakhand","Enjoying the healing powers of a spectacular view.","http://www.natgeotraveller.in/magazine/month/august-2015/itmenaan-estate-uttarakhand/",NA,NA
22,79.470389,29.27935,"Te Aroha, Uttarakhand","Serenity and luxury in the Kumaon hills.","http://www.natgeotraveller.in/magazine/month/june-2015/te-aroha/",NA,NA
35,78.1828308,26.2182871,"History Comes Alive In Gwalior","Temples, forts and shopping.","http://www.natgeotraveller.in/magazine/month/august-2013/short-break-gwalior/",78.1828308,26.2182871
43,85.471075,23.801166,"Cycle Through The Ruins Of The Empires In Mandu","The spirit of indulgence still dances among the relics of this town in Madhya Pradesh.","http://www.natgeotraveller.in/magazine/month/december-2014/cycle-through-ruins-of-the-empires-in-mandu/",NA,NA
48,87.6852323,23.6776471,"Shantiniketan By The Book","Following Rabindranath Tagore’s inspiration in a rural paradise. ","http://www.natgeotraveller.in/magazine/month/june-2014/shantiniketan-by-the-book-307/",87.6852323,23.6776471
53,88.118392,24.046402,"Beach Mantra","Despite a surfeit of tourists, Gokarna has aged well.","http://www.natgeotraveller.in/magazine/month/may-2014/beach-mantra-120/",NA,NA
20,88.2626751,27.0360066,"Revolver, Darjeeling","Hello Goodbye, it's a Beatles-themed hotel.","http://www.natgeotraveller.in/magazine/month/june-2015/revolver/",88.2626751,27.0360066
5,93.466667,26.6,"Spot The Endangered One-Horned Rhino In Kaziranga","Elephant rides, jeep safaris and boat safaris in the wild.","http://www.natgeotraveller.in/magazine/month/october-2012/the-wild-way/",NA,NA
51,85.831465,19.813382,"Juggernaut
Journey","The Jagannath Temple defines the spirit of the holy town of Puri.","http://www.natgeotraveller.in/magazine/month/april-2014/juggernautjourney-164/",NA,NA
6,80.918009,16.254154,"Dance Trail: Exploring Classical Art And Culture In Kuchipudi","The Andhra town is home to the guru of Jayalalitha, Hema Malini and Rekha. ","http://www.natgeotraveller.in/magazine/month/february-2013/dance-trail-exploring-classical-art-and-culture-in-kuchipudi/",NA,NA
41,79.1324986,12.9165167,"Discover The Old-World Allure Of Vellore","Compelling history, green spaces, & delicious food welcome you in this Tamil Nadu town.","http://www.natgeotraveller.in/magazine/month/january-2015/vellore/",79.1324986,12.9165167
29,79.845147,10.761012,"Magnificent Mansions, Potent Spices And More In Fiery Chettinad","This region in Tamil Nadu is packed with history and grandeur.","http://www.natgeotraveller.in/magazine/month/january-2013/chettinad-short-breaks/",NA,NA
39,79.388113,10.961695,"Visit Kumbakonam For Its Sacred Trails And Fine Filter Coffee","Weekend getaway: There's something in these temples for everyone.","http://www.natgeotraveller.in/magazine/month/february-2015/kumbakonam/",NA,NA
49,79.137827,10.786999,"In The Shadow Of The Temple","Discovering rare books, opulent paintings, and dancing-girl dolls in Thanjavur.","http://www.natgeotraveller.in/magazine/month/august-2014/in-the-shadow-of-the-temple-276/",NA,NA
45,78.1197754,9.9252007,"Guided By The Goddess: Four Ways To Explore Madurai","A local rose-flavoured drink and the native jasmine will enhance your cultural exploration of Madurai.","http://www.natgeotraveller.in/magazine/month/october-2014/guided-by-the-goddess-four-ways-to-explore-madurai/",78.1197754,9.9252007
50,77.489182,10.238114,"The Joy Of Small Things","Stunning views, flocks of cuddly sheep, smoked garlic–that's what Kodaikanal is about. ","http://www.natgeotraveller.in/magazine/month/july-2014/the-joy-of-small-things-254/",NA,NA
21,76.9787076,8.4003984,"Surfing Lessons And Fiery Fish Curry In Sandy Kovalam","Four ways to explore the Kerala beach town. ","http://www.natgeotraveller.in/magazine/month/june-2015/kovalam/",76.9787076,8.4003984
9,76.2673041,9.9312328,"Soma Kerala Palace, Kochi","This island getaway borrows heavily from the traditional Kerala homestead.","http://www.natgeotraveller.in/magazine/month/january-2014/soma-kerala-palace-kochi/",76.2673041,9.9312328
17,76.2673041,9.9312328,"Walton's Homestay, Kochi","In Fort Kochi's oldest street, a snug, historical home.","http://www.natgeotraveller.in/magazine/month/july-2015/waltons-homestay-fort-kochi/",76.2673041,9.9312328
34,76.951003,10.3235908,"Forest Magic In The Colonial Tea Estates Of Valparai","Travel back in time at the 100-year-old Sinna Dorai Bungalow.","http://www.natgeotraveller.in/magazine/month/august-2013/short-break-sinna-dorai/",76.951003,10.3235908
8,76.866331,11.414299,"Explore The Nilgiris Through Ooty's Botanical Gardens And Tea Estates","Plus Kotagiri's hiking trails, churches and waterfalls.","http://www.natgeotraveller.in/magazine/month/october-2013/explore-the-nilgiris-through-ootys-botanical-gardens-and-tea-estates/",NA,NA
52,75.994216,13.212984,"Chronicles In Stone","Hoysala grandeur comes alive in the temple carvings of Belur and Halebid.","http://www.natgeotraveller.in/magazine/month/february-2014/chronicles-in-stone-148/",NA,NA
32,75.7865653,12.9441511,"Coffee Trails In Sakleshpur","Sakleshpur offers a year-round escape for the city-weary. ","http://www.natgeotraveller.in/magazine/month/august-2013/hillside-haven/",75.7865653,12.9441511
18,75.461783,12.873068,"Stream of Joy, Karnataka","Back to basics at this homestay in Arasinamakki.","http://www.natgeotraveller.in/magazine/month/august-2012/stream-of-joy/",NA,NA
4,74.985168,12.510224,"Visit Kasargod For Its Lighthouse, Forts And Pristine Beaches","Kerala's northernmost district makes for a great weekend getaway.","http://www.natgeotraveller.in/magazine/month/march-2013/unseen-sands/",NA,NA
15,75.0903154,13.5026635,"Agumbe Adventure: Reptiles And Waterfalls In The Rainforests Of Karnataka","The lush village lies in a Unesco World Heritage site.","http://www.natgeotraveller.in/magazine/month/october-2012/agumbe-rainforest-karnataka-western-ghats/",75.0903154,13.5026635
13,74.540469,13.997762,"Forest Trails, Temple Ruins And Luscious Mangalorean Food In Coastal Karnataka","An active break in Bhatkal. ","http://www.natgeotraveller.in/magazine/month/august-2015/forest-trails-temple-ruins-and-luscious-mangalorean-food-in-coastal-karnataka/",NA,NA
24,74.875566,14.17889,"Golden Lake: Coracles And Campfires At Honnemaradu","An idyllic weekend getaway in Karnataka. ","http://www.natgeotraveller.in/magazine/month/june-2013/honnemaradu/",NA,NA
23,74.123996,15.2993265,"The Only Olive, Goa","A slice of life in a Goan village.","http://www.natgeotraveller.in/magazine/month/july-2013/only-olive/",74.123996,15.2993265
26,74.123996,15.2993265,"Cancio’s House, Goa","Old-world charm and pineapple pickle in the sunshine state.","http://www.natgeotraveller.in/magazine/month/may-2015/goan-reverie/",74.123996,15.2993265
42,73.838966,15.63917,"Capella, Goa","At Capella, curl up with a book by a palm-fringed courtyard.","http://www.natgeotraveller.in/magazine/month/december-2014/browsers-nook/",NA,NA
3,74.018261,17.680464,"Monsoon Flower Fiesta: Your Complete Guide To Exploring The Kaas Plateau","Expect new hues every fortnight.","http://www.natgeotraveller.in/magazine/month/july-2012/monsoon-flower-fiesta-your-complete-guide-to-exploring-the-kaas-plateau/",NA,NA
7,74.007672,18.392366,"Time Travelling While Staying At Fort Jadhavgadh","Maharashtra’s only heritage hotel built inside a fort.","http://www.natgeotraveller.in/magazine/month/june-2013/time-travelling-while-staying-at-fort-jadhavgadh/",NA,NA
33,73.933627,18.4709087,"Misty Trails & Rustic Retreat In Cherrapunji","Sa-i-Mika has cozy, no-frills rooms in one of the world’s wettest landscape.","http://www.natgeotraveller.in/magazine/month/august-2013/rustic-in-the-rain/",73.933627,18.4709087
19,73.856744,18.52043,"Avanti Kalagram, Maharashtra","The eco-resort makes for an artsy weekend getaway from Mumbai.","http://www.natgeotraveller.in/magazine/month/july-2013/avanti-kalagram-maharashtra/",NA,NA
10,73.8567437,18.5204303,"Monsoon Getaway: Explore The Natural Beauty Of Mulshi Lake Near Pune","Go white water rafting, birding, hiking – or just relax.","http://www.natgeotraveller.in/magazine/month/november-2013/monsoon-getaway-explore-the-natural-beauty-of-mulshi-lake-near-pune/",73.8567437,18.5204303
28,72.8776559,19.0759837,"A Forest In Hiding Near Mumbai","Weekend Getaway: Rest and relaxation are unavoidable in this rural retreat. ","http://www.natgeotraveller.in/magazine/month/january-2013/hidden-village/",72.8776559,19.0759837
54,70.05773,22.470702,"Small City,
Big Prize","Skip Rajkot for Jamnagar’s snacks and surmo.","http://www.natgeotraveller.in/magazine/month/march-2014/small-city-big-prize-85/",NA,NA
47,69.666932,23.242,"Across The Salt Desert","Baroque palaces meet the bare beauty of the White Rann in Bhuj.","http://www.natgeotraveller.in/magazine/month/september-2014/across-the-salt-desert-354/",NA,NA
30,72.5713621,23.022505,"French Haveli, Ahmedabad","A restored Ahmedabad haveli embraces its neighbourhood. ","http://www.natgeotraveller.in/magazine/month/april-2015/french-haveli/",72.5713621,23.022505
36,74.118123,24.265634,"Vanaashrya, Rajasthan","Luxury tents in a rustic setting near Sariska National Park.","http://www.natgeotraveller.in/magazine/month/march-2015/vanaashrya/",NA,NA
27,73.712479,24.585445,"Royal Treatment: Discovering Udaipur's Lakes And Palaces","The ""city of dawn"" will make your spirits soar.","http://www.natgeotraveller.in/magazine/month/may-2015/regal-romance/",NA,NA
11,70.8944905,26.9212132,"Suryagarh, Rajasthan","Love for the desert and comfort coalesce.","http://www.natgeotraveller.in/magazine/month/august-2015/suryagarh-rajasthan/",70.8944905,26.9212132
